node_id,node_time,simp_error,ets_error,simp_span,ets_span,added_span,wrongly_added_span,dist_from_sample_centroid0,simp_dist_from_sample_centroid,ets_dist_from_sample_centroid
2700.0,1.0,0.513719178730513,0.5138209711118411,59309170.0,100000000.0,40690830.0,40690830.0,136.89374138436844,137.1614347071179,137.12285567053362
2701.0,1.0,1.8931051177303062,1.893176293096728,89805986.0,100000000.0,10194014.0,10194014.0,80.56845781052787,80.67827023704871,80.71312499927907
2705.0,1.0,1.6737177062563657,1.6734085515973587,75547300.0,100000000.0,24452700.0,24452700.0,51.448530770932656,50.957527633971786,50.876941404869115
2706.0,1.0,1.6757782071117782,1.6763182844038964,47010957.0,72682019.0,25671062.0,25671062.0,51.83754536717037,51.41979933065963,51.510799781096516
2707.0,1.0,1.6752562095846006,1.675072271659364,52989043.0,87098834.0,34109791.0,34109791.0,51.83754536717037,51.34300448979104,51.30738451961492
2708.0,1.0,1.6745014120054238,1.6742974012308318,18282763.0,82710251.0,64427488.0,64427488.0,51.546604606900615,51.192638144736634,51.11330094213122
2709.0,1.0,1.674831372641687,1.6748187620713615,17289749.0,24341351.0,7051602.0,7051602.0,51.546604606900615,51.25085996918456,51.22773588955157
2711.0,1.0,1.6316942801342147,1.6315812788047848,39592042.0,43035226.0,3443184.0,3443184.0,50.11556259745641,49.901248150995556,49.883007299182175
2712.0,1.0,1.9024062632326446,1.902484182379848,46731469.0,87063001.0,40331532.0,40331532.0,81.90887885821299,81.72055787102174,81.82423595016358
2713.0,1.0,1.9028618046580186,1.9037070883545362,22399725.0,77850237.0,55450512.0,55450512.0,82.09157524704776,81.99945871762468,82.14020459496247
2714.0,1.0,0.781647637110559,0.7815894118684888,13020880.0,13956905.0,936025.0,936025.0,93.50991476004123,93.28057693962448,93.2575715994946
2715.0,1.0,0.7825233718871446,0.7824625106080167,86979120.0,96746957.0,9767837.0,9767837.0,93.50991476004123,93.21066427265517,93.19063108996274
