id,num_children,distinct_children,distinct_parents,num_parents,is_sample,is_root
224,2.0,[404 840],[ -1 121],2.0,0,0.0
225,3.0,[296 332 499],[-1  1 10],3.0,0,0.0
226,2.0,[349 455],[-1 12],2.0,0,0.0
227,2.0,[1460 2054],[ -1 121 128],3.0,0,0.0
228,22.0,"[ 256  283  323  332  333  339  358  360  375  432  458  464  465  491
  497  499  506  523  584  637  840 1236]",[ -1   1   5  92  96 129 133 143 196],9.0,0,0.0
229,2.0,[ 884 1736],[ -1 175],2.0,0,0.0
230,15.0,"[ 272  333  360  369  406  422  460  469  499  577  702  723  733  753
 1295]",[ -1   1  10  15  36  45  47  75 121 128 165],11.0,0,0.0
231,37.0,"[ 257  260  262  263  267  268  276  292  302  314  364  384  413  419
  482  487  489  492  494  529  566  609  617  645  647  665  703  720
  745  749  802  830  864 1261 1351 1378 1503]","[ -1   0   1   5   6  12  53  54  55  69 122 126 130 137 144 152 153 157
 173 176 178 182 201]",23.0,0,0.0
232,25.0,"[ 277  319  376  378  379  390  399  402  404  439  442  463  465  467
  477  506  766  840 1307 1338 1368 1378 1386 1460 2054]",[ -1   1  25  49  64  67  77 121 128 141 162 194],12.0,0,0.0
233,9.0,[319 381 390 467 472 477 540 549 636],[ -1   2 154 179 181],5.0,0,0.0
234,14.0,[ 242  314  346  348  411  415  417  489  508  543  632  636 1450 1539],[ -1   6  21  22  25  26  28  29  30  31  73 100 101 115 152 168 171 193],18.0,0,0.0
235,4.0,[ 776 1313 1596 1804],[ -1 125 161],3.0,0,0.0
236,17.0,[241 264 271 273 308 333 358 380 406 460 479 491 514 515 531 577 648],[ -1   5  12  65  66 128 133 142 151],9.0,0,0.0
237,4.0,[378 399 463 477],[-1 25 49],3.0,0,0.0
238,43.0,"[ 242  249  258  259  285  302  307  326  330  334  340  341  342  349
  351  353  361  364  372  384  393  425  430  435  455  468  482  485
  490  544  547  609  636  641  654  668  704  725  745  797  868 1484
 1854]",[ -1   1   5  10  12  13 118 119 128 149 157 177 190 215 218],15.0,0,0.0
239,30.0,"[ 258  259  264  282  300  315  318  329  349  351  352  384  392  435
  441  455  480  484  491  545  757  766 1098 1253 1295 1324 1459 1509
 1530 1750]",[ -1   1   5  10  12  13 139],7.0,0,0.0
240,3.0,[323 432 464],[-1  5],2.0,0,0.0
241,8.0,[ 323  335  360  432  527  637  648 1147],[ -1  92 104 128 199 236],6.0,0,0.0
242,16.0,"[ 258  261  303  313  349  353  364  415  417  476  490  603  641  654
  797 1942]",[ -1  12 115 168 169 176 234 238],8.0,0,0.0
243,6.0,[ 267  279  665  781  864 1029],[ -1   1 182 184],4.0,0,0.0
244,2.0,[ 884 1736],[ -1 175],2.0,0,0.0
245,6.0,[ 579  604  625  755 1004 1151],[ -1 145 146 148 175 220],6.0,0,0.0
246,10.0,[303 326 349 460 468 469 479 514 641 797],[ -1   1  45  66 176 177],6.0,0,0.0
247,2.0,[323 432],[-1  5],2.0,0,0.0
248,2.0,[ 588 1736],[ -1 213],2.0,0,0.0
249,2.0,[ 468 1687],[ -1 238],2.0,0,0.0
250,15.0,"[ 275  280  286  323  332  335  360  432  446  466  499 1147 1470 1493
 1509]",[ -1   1   5  15  32  52  60  74  75  79  88  91  92 195 197 199],16.0,0,0.0
251,21.0,"[ 324  365  370  586  588  637  750  759  776  791  884  898 1113 1152
 1227 1300 1585 1736 1899 2128 2509]",[ -1   5  76 111 113 114 136 159 167 175 213 214],12.0,0,0.0
252,33.0,"[ 255  267  268  270  279  288  290  291  314  316  327  343  362  373
  374  386  405  447  457  475  481  494  535  537  542  619  781 1161
 1395 1398 1453 1463 2925]","[ -1   1  12  24  27  41  80  85  86  87  89  90 106 107 109 110 138 155
 163]",19.0,0,0.0
253,2.0,[1450 1942],[ -1 115],2.0,0,0.0
254,8.0,[ 433  438  654  974  978 1090 1343 1376],[ -1 173 176],3.0,0,0.0
255,2.0,[1344 1398],[ -1 252],2.0,0,0.0
256,4.0,[339 427 491 733],[ -1 228],2.0,0,0.0
257,3.0,[ 494 1261 1586],[ -1 231],2.0,0,0.0
258,9.0,[ 491  603  757  795  916  918 1295 1459 1509],[ -1 238 239 242],4.0,0,0.0
259,5.0,[ 393  486  491 1295 1687],[ -1 238 239],3.0,0,0.0
260,4.0,[ 489  532  978 1379],[ -1 231],2.0,0,0.0
261,2.0,[603 757],[ -1 216 242],3.0,0,0.0
262,2.0,[489 978],[ -1 231],2.0,0,0.0
263,10.0,[ 489  492  494  532  974  978 1261 1339 1379 1412],[ -1 231],2.0,0,0.0
264,2.0,[ 406 1108],[ -1 236 239],3.0,0,0.0
265,2.0,[604 625],[ -1 175],2.0,0,0.0
266,2.0,[1152 1804],[ -1 159],2.0,0,0.0
267,17.0,"[ 371  386  400  410  440  457  493  571  581  706  745  781  964 1027
 1124 1161 1378]",[ -1 106 107 153 231 243 252],7.0,0,0.0
268,11.0,[ 395  413  494  619 1022 1093 1261 1484 1784 2220 3139],[ -1 218 231 252],4.0,0,0.0
269,2.0,[386 781],[-1  1],2.0,0,0.0
270,5.0,[ 386  440  448  706 1161],[ -1 106 252],3.0,0,0.0
271,2.0,[ 406 1108],[ -1 236],2.0,0,0.0
272,3.0,[1103 1324 1509],[ -1 165 230],3.0,0,0.0
273,2.0,[ 406 1108],[ -1 236],2.0,0,0.0
274,7.0,[ 363  382  531  966 1047 1804 2395],[ -1 117 133 141 159],5.0,0,0.0
275,3.0,[ 449  517 1295],[ -1 250],2.0,0,0.0
276,3.0,[595 685 745],[ -1 231],2.0,0,0.0
277,2.0,[ 803 1676],[ -1 194 232],3.0,0,0.0
278,3.0,[616 776 794],[ -1 207],2.0,0,0.0
279,2.0,[386 781],[ -1   1 243 252],4.0,0,0.0
280,2.0,[ 432 1295],[ -1 250],2.0,0,0.0
281,3.0,[382 404 966],[ -1 117],2.0,0,0.0
282,4.0,[ 525  589  757 1509],[ -1 239],2.0,0,0.0
283,3.0,[333 580 612],[ -1 228],2.0,0,0.0
284,2.0,[ 456 1200],[ -1 159],2.0,0,0.0
285,4.0,[ 819  941 1459 2214],[ -1 238],2.0,0,0.0
286,3.0,[ 432  449 1295],[ -1 250],2.0,0,0.0
287,2.0,[ 456 1200],[ -1 159 194],3.0,0,0.0
288,2.0,[1344 1398],[ -1 252],2.0,0,0.0
289,2.0,[588 662],[ -1 175],2.0,0,0.0
290,4.0,[ 494  837 1261 1283],[ -1 139 155 252],4.0,0,0.0
291,4.0,[ 494  837 1161 1283],[ -1 252],2.0,0,0.0
292,13.0,[ 566  582  595  627  628  640  647  654  685  708  745  799 1184],[ -1 231],2.0,0,0.0
293,2.0,[585 840],[ -1 121],2.0,0,0.0
294,3.0,[ 516  733 2128],[ -1 183],2.0,0,0.0
295,6.0,[ 648  735  750  759  795 1045],[ -1 159 180 205],4.0,0,0.0
296,5.0,[ 367  517  555  563 1295],[ -1 217 225],3.0,0,0.0
297,2.0,[1047 1804],[ -1 159],2.0,0,0.0
298,11.0,[ 396  648  662  696  714  735  759  795  840  996 1045],[ -1 117 159],3.0,0,0.0
299,2.0,[585 840],[ -1 117],2.0,0,0.0
300,2.0,[ 484 1509],[ -1 239],2.0,0,0.0
301,5.0,[ 531 1152 1162 1804 2395],[ -1 133 159],3.0,0,0.0
302,6.0,[ 468  603  641  795 1530 1687],[ -1 231 238],3.0,0,0.0
303,3.0,[ 603  797 2375],[ -1 242 246],3.0,0,0.0
304,5.0,[ 444  453  467  700 2406],[ -1 192],2.0,0,0.0
305,2.0,[616 794],[ -1 125 207],3.0,0,0.0
306,3.0,[ 562 2246 2375],[ -1 118 169],3.0,0,0.0
307,2.0,[ 468 1687],[ -1 238],2.0,0,0.0
308,2.0,[637 648],[ -1 236],2.0,0,0.0
309,6.0,[ 453  474  633 1054 1066 1313],[ -1 192],2.0,0,0.0
310,2.0,[ 733 2128],[ -1 183 189],3.0,0,0.0
311,2.0,[ 478 1132],[ -1 141],2.0,0,0.0
312,7.0,[ 562  566  570  575  628  745 2375],[ -1 153 169],3.0,0,0.0
313,2.0,[ 797 2375],[ -1 169 242],3.0,0,0.0
314,32.0,"[ 359  409  416  418  494  500  532  542  543  591  613  879  903 1033
 1090 1324 1337 1339 1350 1358 1369 1378 1379 1441 1450 1486 1501 1771
 1789 2021 2039 2070]",[ -1 126 152 153 156 172 173 174 193 210 231 234 252],13.0,0,0.0
315,4.0,[ 406  884 1108 1736],[ -1 175 239],3.0,0,0.0
316,4.0,[ 581  732  745 1124],[ -1 252],2.0,0,0.0
